"Step","experiment_12 - Training Accuracy / Epoch","experiment_12 - Training Accuracy / Epoch__MIN","experiment_12 - Training Accuracy / Epoch__MAX","experiment_11 - Training Accuracy / Epoch","experiment_11 - Training Accuracy / Epoch__MIN","experiment_11 - Training Accuracy / Epoch__MAX","experiment_10 - Training Accuracy / Epoch","experiment_10 - Training Accuracy / Epoch__MIN","experiment_10 - Training Accuracy / Epoch__MAX","experiment_9 - Training Accuracy / Epoch","experiment_9 - Training Accuracy / Epoch__MIN","experiment_9 - Training Accuracy / Epoch__MAX","experiment_8 - Training Accuracy / Epoch","experiment_8 - Training Accuracy / Epoch__MIN","experiment_8 - Training Accuracy / Epoch__MAX","experiment_7 - Training Accuracy / Epoch","experiment_7 - Training Accuracy / Epoch__MIN","experiment_7 - Training Accuracy / Epoch__MAX","experiment_6 - Training Accuracy / Epoch","experiment_6 - Training Accuracy / Epoch__MIN","experiment_6 - Training Accuracy / Epoch__MAX","experiment_5 - Training Accuracy / Epoch","experiment_5 - Training Accuracy / Epoch__MIN","experiment_5 - Training Accuracy / Epoch__MAX","experiment_4 - Training Accuracy / Epoch","experiment_4 - Training Accuracy / Epoch__MIN","experiment_4 - Training Accuracy / Epoch__MAX","experiment_3 - Training Accuracy / Epoch","experiment_3 - Training Accuracy / Epoch__MIN","experiment_3 - Training Accuracy / Epoch__MAX"
"347","18.106","18.106","18.106","18.388","18.388","18.388","17.524","17.524","17.524","17.784","17.784","17.784","17.854","17.854","17.854","18.908","18.908","18.908","17.652","17.652","17.652","16.802","16.802","16.802","16.98","16.98","16.98","18.008","18.008","18.008"
"353","18.314","18.314","18.314","18.426","18.426","18.426","17.75","17.75","17.75","17.914","17.914","17.914","18.128","18.128","18.128","18.992","18.992","18.992","17.85","17.85","17.85","16.968","16.968","16.968","17.296","17.296","17.296","18.17","18.17","18.17"
"359","18.488","18.488","18.488","18.664","18.664","18.664","17.932","17.932","17.932","18.068","18.068","18.068","18.23","18.23","18.23","19.27","19.27","19.27","18.004","18.004","18.004","17.24","17.24","17.24","17.426","17.426","17.426","18.296","18.296","18.296"
"365","18.572","18.572","18.572","18.842","18.842","18.842","17.966","17.966","17.966","17.99","17.99","17.99","18.438","18.438","18.438","19.408","19.408","19.408","18.022","18.022","18.022","17.344","17.344","17.344","17.426","17.426","17.426","18.41","18.41","18.41"
"371","18.89","18.89","18.89","19.11","19.11","19.11","18.04","18.04","18.04","18.262","18.262","18.262","18.514","18.514","18.514","19.712","19.712","19.712","18.326","18.326","18.326","17.478","17.478","17.478","17.832","17.832","17.832","18.496","18.496","18.496"
"377","19.01","19.01","19.01","19.158","19.158","19.158","18.244","18.244","18.244","18.428","18.428","18.428","18.674","18.674","18.674","19.838","19.838","19.838","18.392","18.392","18.392","17.74","17.74","17.74","17.87","17.87","17.87","18.618","18.618","18.618"
"383","19.054","19.054","19.054","19.386","19.386","19.386","18.484","18.484","18.484","18.558","18.558","18.558","18.83","18.83","18.83","19.994","19.994","19.994","18.546","18.546","18.546","17.852","17.852","17.852","18.08","18.08","18.08","18.878","18.878","18.878"
"389","19.294","19.294","19.294","19.488","19.488","19.488","18.512","18.512","18.512","18.778","18.778","18.778","19.062","19.062","19.062","20.068","20.068","20.068","18.82","18.82","18.82","18.108","18.108","18.108","18.244","18.244","18.244","18.972","18.972","18.972"
"395","19.42","19.42","19.42","19.664","19.664","19.664","18.55","18.55","18.55","18.872","18.872","18.872","19.156","19.156","19.156","20.284","20.284","20.284","18.808","18.808","18.808","18.304","18.304","18.304","18.302","18.302","18.302","19.052","19.052","19.052"
"401","19.5","19.5","19.5","19.558","19.558","19.558","18.694","18.694","18.694","19.086","19.086","19.086","19.396","19.396","19.396","20.538","20.538","20.538","19.01","19.01","19.01","18.482","18.482","18.482","18.524","18.524","18.524","19.174","19.174","19.174"
"407","19.602","19.602","19.602","19.802","19.802","19.802","18.934","18.934","18.934","19.164","19.164","19.164","19.408","19.408","19.408","20.5","20.5","20.5","19.194","19.194","19.194","18.642","18.642","18.642","18.632","18.632","18.632","19.436","19.436","19.436"
"413","19.682","19.682","19.682","19.982","19.982","19.982","19.134","19.134","19.134","19.202","19.202","19.202","19.566","19.566","19.566","20.812","20.812","20.812","19.454","19.454","19.454","18.892","18.892","18.892","18.64","18.64","18.64","19.618","19.618","19.618"
"419","19.892","19.892","19.892","20.194","20.194","20.194","19.034","19.034","19.034","19.356","19.356","19.356","19.696","19.696","19.696","20.956","20.956","20.956","19.47","19.47","19.47","18.872","18.872","18.872","18.91","18.91","18.91","19.602","19.602","19.602"
"425","20.064","20.064","20.064","20.394","20.394","20.394","19.324","19.324","19.324","19.502","19.502","19.502","19.798","19.798","19.798","21.132","21.132","21.132","19.518","19.518","19.518","19.11","19.11","19.11","19.056","19.056","19.056","19.902","19.902","19.902"
"431","20.236","20.236","20.236","20.452","20.452","20.452","19.61","19.61","19.61","19.686","19.686","19.686","19.776","19.776","19.776","21.33","21.33","21.33","19.684","19.684","19.684","19.444","19.444","19.444","19.118","19.118","19.118","19.732","19.732","19.732"
"437","20.058","20.058","20.058","20.572","20.572","20.572","19.668","19.668","19.668","19.922","19.922","19.922","20.122","20.122","20.122","21.424","21.424","21.424","19.7","19.7","19.7","19.266","19.266","19.266","19.092","19.092","19.092","20.078","20.078","20.078"
"443","20.592","20.592","20.592","20.812","20.812","20.812","19.698","19.698","19.698","19.986","19.986","19.986","20.324","20.324","20.324","21.52","21.52","21.52","19.884","19.884","19.884","19.518","19.518","19.518","19.358","19.358","19.358","20.166","20.166","20.166"
"449","20.64","20.64","20.64","20.922","20.922","20.922","19.782","19.782","19.782","20.298","20.298","20.298","20.314","20.314","20.314","21.698","21.698","21.698","20.12","20.12","20.12","19.672","19.672","19.672","19.446","19.446","19.446","20.336","20.336","20.336"
"455","20.612","20.612","20.612","21.044","21.044","21.044","19.816","19.816","19.816","20.388","20.388","20.388","20.434","20.434","20.434","22.054","22.054","22.054","20.018","20.018","20.018","19.774","19.774","19.774","19.746","19.746","19.746","20.404","20.404","20.404"
"461","20.688","20.688","20.688","21.354","21.354","21.354","20.254","20.254","20.254","20.264","20.264","20.264","20.68","20.68","20.68","22.122","22.122","22.122","20.29","20.29","20.29","19.98","19.98","19.98","19.806","19.806","19.806","20.58","20.58","20.58"
"467","20.928","20.928","20.928","21.192","21.192","21.192","20.224","20.224","20.224","20.624","20.624","20.624","20.788","20.788","20.788","22.118","22.118","22.118","20.428","20.428","20.428","20.2","20.2","20.2","19.952","19.952","19.952","20.756","20.756","20.756"
"473","21.196","21.196","21.196","21.358","21.358","21.358","20.26","20.26","20.26","20.786","20.786","20.786","20.808","20.808","20.808","22.274","22.274","22.274","20.456","20.456","20.456","20.494","20.494","20.494","19.986","19.986","19.986","20.66","20.66","20.66"
"479","21.306","21.306","21.306","21.576","21.576","21.576","20.356","20.356","20.356","21.034","21.034","21.034","21.044","21.044","21.044","22.346","22.346","22.346","20.766","20.766","20.766","20.402","20.402","20.402","19.996","19.996","19.996","20.898","20.898","20.898"
"485","21.302","21.302","21.302","21.668","21.668","21.668","20.598","20.598","20.598","21.114","21.114","21.114","21.128","21.128","21.128","22.672","22.672","22.672","20.83","20.83","20.83","20.714","20.714","20.714","20.326","20.326","20.326","21.148","21.148","21.148"
"491","21.646","21.646","21.646","21.87","21.87","21.87","20.624","20.624","20.624","21.076","21.076","21.076","21.256","21.256","21.256","22.902","22.902","22.902","21.058","21.058","21.058","20.782","20.782","20.782","20.278","20.278","20.278","21.348","21.348","21.348"
"497","21.718","21.718","21.718","21.984","21.984","21.984","20.82","20.82","20.82","21.272","21.272","21.272","21.644","21.644","21.644","22.986","22.986","22.986","21.074","21.074","21.074","21.06","21.06","21.06","20.508","20.508","20.508","21.218","21.218","21.218"
"503","21.834","21.834","21.834","21.85","21.85","21.85","20.924","20.924","20.924","21.54","21.54","21.54","21.498","21.498","21.498","23.2","23.2","23.2","21.24","21.24","21.24","21.108","21.108","21.108","20.52","20.52","20.52","21.456","21.456","21.456"
"509","21.746","21.746","21.746","22.408","22.408","22.408","21.014","21.014","21.014","21.58","21.58","21.58","21.67","21.67","21.67","23.46","23.46","23.46","21.37","21.37","21.37","21.172","21.172","21.172","20.664","20.664","20.664","21.562","21.562","21.562"
"515","21.972","21.972","21.972","22.468","22.468","22.468","20.934","20.934","20.934","21.72","21.72","21.72","21.788","21.788","21.788","23.26","23.26","23.26","21.448","21.448","21.448","21.27","21.27","21.27","20.922","20.922","20.922","21.692","21.692","21.692"
"521","22.072","22.072","22.072","22.342","22.342","22.342","21.4","21.4","21.4","21.824","21.824","21.824","21.894","21.894","21.894","23.424","23.424","23.424","21.448","21.448","21.448","21.294","21.294","21.294","20.98","20.98","20.98","21.706","21.706","21.706"
"527","22.216","22.216","22.216","22.54","22.54","22.54","21.382","21.382","21.382","22.142","22.142","22.142","22.01","22.01","22.01","23.628","23.628","23.628","21.76","21.76","21.76","21.612","21.612","21.612","21.29","21.29","21.29","21.904","21.904","21.904"
"533","22.27","22.27","22.27","22.722","22.722","22.722","21.278","21.278","21.278","22.022","22.022","22.022","22.332","22.332","22.332","23.71","23.71","23.71","21.918","21.918","21.918","21.85","21.85","21.85","21.24","21.24","21.24","22.092","22.092","22.092"
"539","22.304","22.304","22.304","22.724","22.724","22.724","21.582","21.582","21.582","22.34","22.34","22.34","22.162","22.162","22.162","23.962","23.962","23.962","22.006","22.006","22.006","21.984","21.984","21.984","21.268","21.268","21.268","22.164","22.164","22.164"
